                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9647,                    4.9,                 1.1683,                0.31429,                0.37931,                0.17809,                0.09843,                 1.3152,                 2.9714,                 1.0033,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.6224,                 2.6059,                 1.0507,                0.62755,                0.89655,                0.77497,                0.46808,                 1.1782,                 2.3724,                 0.9573,             0.00017287,             0.00017287,             0.00017287
                      2,                 1.4679,                  1.718,                 1.0326,                0.83732,                0.88764,                0.88536,                0.62307,                 1.0492,                 1.5229,                0.93935,             0.00025782,             0.00025782,             0.00025782
                      3,                 1.3287,                 1.1693,                0.96679,                0.77383,                0.96552,                0.89154,                0.63826,                 1.0778,                 1.4626,                0.92098,             0.00033486,             0.00033486,             0.00033486
                      4,                 1.2708,                0.96426,                0.93049,                 0.4495,                 0.7931,                0.47392,                0.31486,                 1.0796,                 2.4527,                0.92175,             0.00040397,             0.00040397,             0.00040397
                      5,                 1.1621,                0.78889,                0.93657,                0.15991,                0.86207,                0.15558,                0.11115,                 1.0538,                 5.8607,                0.91201,             0.00046516,             0.00046516,             0.00046516
                      6,                 1.0422,                0.77035,                0.88813,                0.12069,                0.89655,                0.11399,                0.07634,                0.99823,                 6.2491,                0.90719,             0.00051843,             0.00051843,             0.00051843
                      7,                  1.082,                0.73025,                0.88131,                0.21377,                0.62069,                0.20035,                0.15028,                0.87614,                 2.4616,                0.89316,             0.00056378,             0.00056378,             0.00056378
                      8,                 1.1014,                0.71542,                0.90303,                0.68921,                0.84141,                0.80275,                0.55952,                 0.9857,                0.94247,                 0.8945,             0.00060122,             0.00060122,             0.00060122
                      9,                 1.1283,                0.69526,                0.92257,                0.57212,                0.73793,                0.68139,                0.49089,                0.86614,                 1.1411,                0.88194,             0.00063073,             0.00063073,             0.00063073
                     10,                0.99505,                0.62295,                0.90122,                0.82669,                0.82259,                0.84899,                0.63788,                0.88555,                0.97332,                 0.8925,             0.00065232,             0.00065232,             0.00065232
                     11,                0.94943,                0.64711,                0.90215,                0.98634,                0.55172,                0.71937,                0.52838,                0.97783,                 1.3319,                0.90284,             0.00066599,             0.00066599,             0.00066599
                     12,                 1.0581,                0.69425,                 0.8664,                0.90393,                0.64917,                0.77708,                0.57188,                 1.0328,                 1.1161,                 0.9183,             0.00067174,             0.00067174,             0.00067174
                     13,                0.96695,                0.63258,                0.85195,                0.92387,                0.93103,                0.91003,                0.69781,                0.86677,                0.70923,                0.88627,             0.00066958,             0.00066958,             0.00066958
                     14,                0.90277,                 0.5851,                0.87851,                0.86645,                0.93103,                0.89876,                0.63207,                 1.0503,                0.73698,                0.91882,             0.00065949,             0.00065949,             0.00065949
                     15,                  1.044,                0.65528,                0.96324,                 0.8565,                0.86207,                0.89733,                 0.5518,                   1.16,                0.79078,                0.93248,             0.00064148,             0.00064148,             0.00064148
                     16,                 0.9588,                0.58127,                0.89656,                0.88864,                 0.8256,                0.90081,                0.58184,                 1.1499,                0.71518,                0.91901,             0.00061555,             0.00061555,             0.00061555
                     17,                 0.9765,                0.56725,                0.87779,                0.81726,                0.92544,                0.90665,                0.62153,                  1.201,                0.69364,                 0.9285,              0.0005817,              0.0005817,              0.0005817
                     18,                0.85913,                0.51321,                 0.8753,                0.84356,                0.92974,                0.89837,                0.65601,                 1.0238,                0.62973,                0.90135,             0.00053994,             0.00053994,             0.00053994
                     19,                0.94565,                0.54707,                0.89696,                0.84155,                0.93103,                0.89804,                0.64468,                 1.0393,                0.62202,                0.90057,             0.00049025,             0.00049025,             0.00049025
                     20,                0.79956,                 0.4806,                0.87132,                0.84329,                0.92787,                0.90569,                0.69512,                0.91348,                0.60994,                0.88337,               0.000416,               0.000416,               0.000416
                     21,                0.80773,                0.50841,                 0.8671,                0.83848,                0.89506,                0.89882,                0.64832,                0.98054,                0.64266,                0.90516,               0.000416,               0.000416,               0.000416
                     22,                 0.8188,                0.48364,                0.85848,                0.87033,                0.92588,                0.90487,                0.64972,                 1.0105,                0.65467,                 0.9141,              0.0003368,              0.0003368,              0.0003368
                     23,                0.79822,                0.45387,                0.84786,                0.86933,                0.91794,                0.89564,                 0.6639,                0.95902,                0.60489,                 0.9002,              0.0002576,              0.0002576,              0.0002576
                     24,                0.86544,                0.50544,                0.85174,                0.86944,                0.91875,                0.90034,                0.69234,                0.89816,                0.60131,                0.88713,              0.0001784,              0.0001784,              0.0001784
